active_fields,context_len,first_step_mae_ratio,is_smoke,last_step_mae_ratio,mae_ratio,mode,model_family,model_mae,model_rmse,naive_mae,naive_rmse,nonreversal_count,nonreversal_mae_ratio,prediction_form,reversal_count,reversal_mae_ratio,rmse_ratio,role,sequence_subsample_factor,stem,tag,window_stride
"intensity,voltage,current,time_norm",4,0.7603028416633606,false,17.286130905151367,2.328237035174547,rollout,convlstm,0.8190557360649109,1.3399036716596784,0.35179224610328674,0.8120804216839295,5318,2.3321069159945758,direct_next_frame,11,1.5612086663832694,1.6499642595511106,train,1,GRA29_C20_25deg_particle1,multichannel_direct,
"intensity,voltage,current,time_norm",4,0.7810628414154053,false,20.050867080688477,1.8247613920309913,rollout,convlstm,0.5668851137161255,1.121371723231919,0.3106625974178314,0.7920822675585077,5318,1.8275388495168112,direct_next_frame,11,1.279605738965543,1.4157263319230764,train,1,GRA29_C20_25deg_particle2,multichannel_direct,
"intensity,voltage,current,time_norm",4,0.7770740985870361,false,17.669198989868164,2.1593964121671174,rollout,convlstm,0.7086019515991211,1.253119200885701,0.32814815640449524,0.7953347673277972,5318,2.162262884662575,direct_next_frame,11,1.588049493803812,1.5755871016377032,train,1,GRA29_C20_25deg_particle3,multichannel_direct,
"intensity,voltage,current,time_norm",4,0.7898894548416138,false,19.227081298828125,2.0273856791107403,rollout,convlstm,0.6113370060920715,1.0780867970650232,0.3015395700931549,0.7407127585909675,5318,2.0300809228911287,direct_next_frame,11,1.5011388222934354,1.4554721578116607,train,1,GRA29_C20_25deg_particle4,multichannel_direct,
intensity,4,,true,,1.0551963440248655,next_frame,convlstm,0.009060944430530071,0.011716341973297142,0.008586974814534187,0.011083030948510568,32,1.0551963440248655,delta_from_last_frame,0,nan,1.0571424033487595,test,1,GRA29_C20_45deg_particle1,smoke_image_only_delta,1
intensity,4,,true,,1.0557959790051406,next_frame,convlstm,0.008444097824394703,0.010961330638304189,0.007997849956154823,0.010321016469518064,32,1.0557959790051406,delta_from_last_frame,0,nan,1.062039835967438,test,1,GRA29_C20_45deg_particle2,smoke_image_only_delta,1
intensity,4,,true,,1.032854282814556,next_frame,convlstm,0.01125314924865961,0.014565617163382269,0.010895195417106152,0.01405314280709703,32,1.032854282814556,delta_from_last_frame,0,nan,1.036466885971331,test,1,GRA29_C20_45deg_particle3,smoke_image_only_delta,1
intensity,4,,true,,1.0327105113725858,next_frame,convlstm,0.011907120235264301,0.015413870940145563,0.011529969051480293,0.014900572284505424,32,1.0327105113725858,delta_from_last_frame,0,nan,1.034448251103342,test,1,GRA29_C20_45deg_particle4,smoke_image_only_delta,1
intensity,4,,true,,1.0532500411114922,next_frame,convlstm,0.009180091321468353,0.011852412350274217,0.008715965785086155,0.011236594695856769,32,1.0532500411114922,delta_from_last_frame,0,nan,1.0548046513277298,train,1,GRA29_C20_25deg_particle1,smoke_image_only_delta,1
intensity,4,,true,,1.044245844616776,next_frame,convlstm,0.009231042116880417,0.012028546220121842,0.008839912712574005,0.011416148721548877,32,1.044245844616776,delta_from_last_frame,0,nan,1.053643090459834,train,1,GRA29_C20_25deg_particle2,smoke_image_only_delta,1
