count,mean_last_step_mae_ratio,mean_mae_ratio,mean_model_mae,mean_model_rmse,mean_naive_mae,mean_naive_rmse,mean_nonreversal_mae_ratio,mean_reversal_mae_ratio,mean_rmse_ratio,mode,model_family,tag
8,,2.362168595322066,0.029815878719091415,3.336573316909565,0.011886089108884335,0.024205868290017023,2.368282794274169,0.818687367173716,99.84779174846143,next_frame,residual_cnn,image_only_direct
8,nan,nan,nan,nan,0.338276993483305,0.7837537812719471,nan,nan,nan,rollout,residual_cnn,image_only_direct
8,,0.8112480120331746,0.009653757268097252,0.023752245901998415,0.011886089108884335,0.024205868290017023,0.8112315793121052,0.8154874022172321,0.9307267396160398,next_frame,residual_cnn,image_only_direct_stable256
8,9.619541332125664,5.1392527258175775,0.07670679409056902,0.18566771412565727,0.01693176885601133,0.025641797937371768,5.1392527258175775,,7.950641028995559,rollout,residual_cnn,image_only_direct_stable256
8,,0.8326965146550005,0.009909241227433085,0.022756769594058635,0.011886089108884335,0.024205868290017023,0.8326049735114056,0.8553593841416449,0.9146323905647533,next_frame,residual_cnn,multichannel_delta
8,32.775157153606415,1.9987225378111675,0.6732732653617859,1.1754949539185318,0.338276993483305,0.7837537812719471,2.0023519849202094,1.2525114376030182,1.501933036516207,rollout,residual_cnn,multichannel_delta
8,,10.831436312371078,0.13393025717232376,23.899459769244945,0.011886089108884335,0.024205868290017023,10.870928568460858,0.8401533308275164,764.7790647058931,next_frame,residual_cnn,multichannel_direct
8,nan,nan,nan,nan,0.338276993483305,0.7837537812719471,nan,nan,nan,rollout,residual_cnn,multichannel_direct
8,,0.8279426378191392,0.009834078489802778,0.021333162867114765,0.011886089108884335,0.024205868290017023,0.8277312006722612,0.8797088419980249,0.8655989223558531,next_frame,residual_cnn,multichannel_direct_stable256
8,16.253785252571106,13.565569225480207,0.1973271779716015,0.2839994108590771,0.01693176885601133,0.025641797937371768,13.565569225480207,,12.579911015945205,rollout,residual_cnn,multichannel_direct_stable256
8,,0.9982485427807886,0.009681436466053128,0.012506057292277162,0.009699796908535063,0.01253206421559423,0.9982485427807886,,0.9980539105546827,next_frame,residual_cnn,smoke_image_only_delta
8,1.3614586144685745,1.1425485086522986,0.012462281272746623,0.0159235399803273,0.011022972175851464,0.014344929536319988,1.1425485086522986,,1.1205893442428465,rollout,residual_cnn,smoke_image_only_delta
8,,0.8270952742352986,0.009819984785281122,0.022535376815480724,0.011886089108884335,0.024205868290017023,0.8270381145713832,0.8415631306444521,0.9036505927552925,next_frame,simvp,image_only_delta
8,nan,nan,nan,nan,0.338276993483305,0.7837537812719471,nan,nan,nan,rollout,simvp,image_only_delta
8,,0.8217806785724364,0.009755476610735059,0.02242695370149947,0.011886089108884335,0.024205868290017023,0.8216962988150098,0.8429652442401568,0.8940868173619126,next_frame,simvp,image_only_delta_stable256
8,318629215.4537022,15016402.149432193,166971.12476240052,920230.0199454384,0.01693176885601133,0.025641797937371768,15016402.149432193,,48858274.372081295,rollout,simvp,image_only_delta_stable256
8,,1.4283980354328984,0.0173060285160318,0.43492131327927425,0.011886089108884335,0.024205868290017023,1.4299609892235627,1.0318035340774256,12.328946424834294,next_frame,simvp,image_only_direct
8,nan,nan,nan,nan,0.338276993483305,0.7837537812719471,nan,nan,nan,rollout,simvp,image_only_direct
8,,0.8859271199780528,0.01047948666382581,0.022961787995533448,0.011886089108884335,0.024205868290017023,0.8854989381056924,0.987756024232141,0.9410542632362326,next_frame,simvp,multichannel_delta
8,408525736.625,2241130.942586614,780079.6259765625,9853246.607522061,0.338276993483305,0.7837537812719471,2251877.5079591796,214.28694655601868,12362944.190866815,rollout,simvp,multichannel_delta
8,,0.8503036369495125,0.010047136805951595,0.023405359374589173,0.011886089108884335,0.024205868290017023,0.8499849060659228,0.9278646950737471,0.9379385884850033,next_frame,simvp,multichannel_delta_stable256_rerun
8,nan,nan,nan,nan,0.01693176885601133,0.025641797937371768,nan,,nan,rollout,simvp,multichannel_delta_stable256_rerun
8,,1.463217607183049,0.01663636416196823,0.07707585900832087,0.011886089108884335,0.024205868290017023,1.458958318219002,2.5136301635155016,2.8126258348622217,next_frame,simvp,multichannel_direct
8,nan,nan,nan,nan,0.338276993483305,0.7837537812719471,nan,nan,nan,rollout,simvp,multichannel_direct
8,,1.021735182516042,0.00990440824534744,0.012822097373841315,0.009699796908535063,0.01253206421559423,1.021735182516042,,1.0238845912297152,next_frame,simvp,smoke_image_only_delta
8,1.9766220599412918,1.468192418458611,0.015995528898201883,0.0298609886618039,0.011022972175851464,0.014344929536319988,1.468192418458611,,2.127681367638222,rollout,simvp,smoke_image_only_delta
8,,0.7981498887421796,0.009508111921604723,0.024085890332291457,0.011886089108884335,0.024205868290017023,0.798119977203265,0.8055227038196185,0.9373602921035555,next_frame,unet,image_only_delta
8,181929302037.12103,1597327501.2504773,578810782.4834732,7406444099.642898,0.338276993483305,0.7837537812719471,1604668927.0688999,11904.608906948015,9259478887.6636,rollout,unet,image_only_delta
8,,1.129176353961122,0.013287049601785839,0.027630091214055727,0.011886089108884335,0.024205868290017023,1.1286710743600628,1.249931774560575,1.1821606596407503,next_frame,unet,image_only_direct
8,6.704464187845588,1.486558782809103,0.5013432465493679,1.097523384797312,0.338276993483305,0.7837537812719471,1.487484211650742,1.296917277560619,1.4023661129132856,rollout,unet,image_only_direct
8,,0.8048754847105648,0.009584768733475357,0.022400460380340503,0.011886089108884335,0.024205868290017023,0.8048117436255651,0.8205773007125099,0.8908055189058909,next_frame,unet,multichannel_delta
8,52.01865077018738,4.192738285026544,1.4071568101644516,2.1218980082222405,0.338276993483305,0.7837537812719471,4.201399677729517,2.411986403887491,2.710310476079405,rollout,unet,multichannel_delta
8,,1.09404549440369,0.012888871249742806,0.025788717873917396,0.011886089108884335,0.024205868290017023,1.0940694404800777,1.0919374297661424,1.0978726209066196,next_frame,unet,multichannel_direct
8,8.305708643049002,1.4644350470492746,0.4941342808306217,1.0771516875150655,0.338276993483305,0.7837537812719471,1.465660738139099,1.2136114757525691,1.3764494534245026,rollout,unet,multichannel_direct
8,,1.1055262786550926,0.010637595085427165,0.01384819321826966,0.009699796908535063,0.01253206421559423,1.1055262786550926,,1.1153549906265754,next_frame,unet,smoke_image_only_delta
8,7.639356702566147,3.6528817392573476,0.039008085848763585,0.07302276813818179,0.011022972175851464,0.014344929536319988,3.6528817392573476,,5.302550348857837,rollout,unet,smoke_image_only_delta
