tag,stem,mode,bucket,n_steps,bright_threshold,calibration_start,calibration_stop,target_step_source,pixel_mae_ratio,corr_mean,slope_mean,corr_naive_mean,corr_p95,slope_p95,corr_naive_p95,corr_bright_frac90,slope_bright_frac90,corr_naive_bright_frac90
unet_image_only_delta_rft,GRA29_C20_25deg_particle2,next_frame,all,3000,0.65234375,0,4,target_steps,0.8238125443458557,0.999997456935767,1.0001295288069632,0.9999914006323228,0.9999862641896482,0.9996098087294145,0.999971014709949,0.9999847897909281,0.9996050938888567,0.9999701944081756
unet_image_only_delta_rft,GRA29_C20_25deg_particle3,next_frame,all,3000,0.751953125,0,4,target_steps,0.8113622665405273,0.9999972924597291,1.0002982569886234,0.999992088487572,0.9999920197459536,1.0003476383518999,0.9999852791896269,0.9999895886075656,1.0000945985926288,0.9999710484527436
unet_image_only_delta_rft,GRA29_C20_25deg_particle4,next_frame,all,3000,1.083984375,0,4,target_steps,0.9509694576263428,0.9999915314954559,0.9997810044911558,0.9999809784259559,0.9999826892545335,1.0004708731359562,0.9999632665967104,0.9999292811259296,0.9960571472380623,0.999932770201435
unet_image_only_delta_rft,GRA29_C20_45deg_particle1,next_frame,all,3000,0.52294921875,0,4,target_steps,0.8114239573478699,0.9999959148486631,1.00016044003766,0.9999923763267862,0.9999900908084507,1.0001747671970862,0.9999762832844239,0.9999869213522272,0.9994800696637745,0.9999857109071019
unet_image_only_delta_rft,GRA29_C20_45deg_particle2,next_frame,all,3000,0.417724609375,0,4,target_steps,0.848919689655304,0.9999794146227814,1.0002088470335457,0.9999688191591526,0.9999108273356049,1.0002816491293793,0.9999221397659214,0.999917372717114,1.0007783425500703,0.9999492261141468
unet_image_only_delta_rft,GRA29_C20_45deg_particle3,next_frame,all,3000,0.8026855468750007,0,4,target_steps,0.852410078048706,0.999980325103362,1.00028281785796,0.9999794776298374,0.9999744686614589,1.0003916122866405,0.9999746506361192,0.9999537854076855,0.9997253931553732,0.9999308359547929
unet_image_only_delta_rft,GRA29_C20_45deg_particle4,next_frame,all,3000,1.203125,0,4,target_steps,0.9543386101722717,0.9996927417257665,0.9995839150353625,0.9995087845105449,0.9994045515913335,1.000290960072525,0.9991510932904322,0.9997993933226884,0.9978124973727394,0.9997775798897593
unet_image_only_delta_rft,GRA29_C20_25deg_particle1,rollout,0-32,32,0.53857421875,0,4,target_steps,0.7573999166488647,-0.5012682851395699,-0.2522336587510721,nan,0.4078772465863452,0.11832877606302183,nan,-0.2751064041519974,-0.12732792031881715,nan
unet_image_only_delta_rft,GRA29_C20_25deg_particle1,rollout,32-128,96,0.53857421875,0,4,target_steps,1.144798755645752,-0.8780745063678033,-0.1827124453119495,nan,-0.8106166504113788,-0.15385983873267717,nan,-0.7644599602048688,-0.18571041767890822,nan
unet_image_only_delta_rft,GRA29_C20_25deg_particle1,rollout,128-256,128,0.53857421875,0,4,target_steps,1.5176149606704712,-0.9779709786693657,-0.2723201396144041,nan,-0.9592279883425279,-0.2987883784699613,nan,-0.9053684355086485,-1.3320584231964963,nan
unet_image_only_delta_rft,GRA29_C20_25deg_particle1,rollout,256-512,256,0.53857421875,0,4,target_steps,2.6924922466278076,0.9045538057410615,0.19301235846540463,nan,0.7772775082664989,0.41687737935003455,nan,0.4669308001403977,8.273063825227469,nan
unet_image_only_delta_rft,GRA29_C20_25deg_particle2,rollout,0-32,32,0.65234375,0,4,target_steps,0.798384428024292,-0.1299716459884439,-0.02830336855964887,nan,0.2937971607785253,0.19267774282876604,nan,-0.3691552288148771,-0.20422732736743654,nan
unet_image_only_delta_rft,GRA29_C20_25deg_particle2,rollout,32-128,96,0.65234375,0,4,target_steps,1.101582646369934,-0.3516863636301846,-0.024781002568561486,nan,0.728057633366536,0.21816625557969502,nan,-0.318250379863818,-0.11010219220294268,nan
unet_image_only_delta_rft,GRA29_C20_25deg_particle2,rollout,128-256,128,0.65234375,0,4,target_steps,1.3180471658706665,-0.9702302389564408,-0.16829582390268627,nan,0.8144619175022523,0.18844300873641193,nan,0.6259299395113632,0.3788915690066651,nan
unet_image_only_delta_rft,GRA29_C20_25deg_particle2,rollout,256-512,256,0.65234375,0,4,target_steps,1.6911718845367432,0.7185385645423231,0.1704757470530367,nan,0.7920251093015243,0.1740447259537097,nan,0.9049145282548111,1.7044534869049512,nan
unet_image_only_delta_rft,GRA29_C20_25deg_particle3,rollout,0-32,32,0.751953125,0,4,target_steps,0.7734860777854919,-0.48538383933481366,-0.24367508398957252,nan,0.23680761401131095,0.5367918088611526,nan,0.1783518089172127,0.2881694860293333,nan
unet_image_only_delta_rft,GRA29_C20_25deg_particle3,rollout,32-128,96,0.751953125,0,4,target_steps,1.0979381799697876,-0.8569537289485152,-0.21098232356982535,nan,0.669391476424176,0.6808588608819408,nan,-0.2448492748922408,-0.10767182179114915,nan
unet_image_only_delta_rft,GRA29_C20_25deg_particle3,rollout,128-256,128,0.751953125,0,4,target_steps,1.4209959506988525,-0.9031312978133843,-0.2345818946024225,nan,0.8701337804503201,0.6750924709976247,nan,-0.8316732362329842,-0.47930619825795073,nan
unet_image_only_delta_rft,GRA29_C20_25deg_particle3,rollout,256-512,256,0.751953125,0,4,target_steps,1.7837438583374023,0.9521336836500525,0.401335246343236,nan,0.9360775167710291,0.8111467258526271,nan,0.8335972488023119,1.284162871979804,nan
unet_image_only_delta_rft,GRA29_C20_25deg_particle4,rollout,0-32,32,1.083984375,0,4,target_steps,0.8537344336509705,-0.769409008583608,-0.6546409457668942,nan,-0.0444395205418685,-0.14328559820064704,nan,-0.2751293278710946,-1.3536009445100103,nan
unet_image_only_delta_rft,GRA29_C20_25deg_particle4,rollout,32-128,96,1.083984375,0,4,target_steps,1.0732851028442383,-0.7192578018531525,-0.2309338090806527,nan,0.7788484801995708,1.2884940200731947,nan,0.4283286630271407,0.5693918929706179,nan
unet_image_only_delta_rft,GRA29_C20_25deg_particle4,rollout,128-256,128,1.083984375,0,4,target_steps,1.155812382698059,0.8135771441834755,0.3271332940363363,nan,0.9470828859032545,2.209455290571842,nan,0.7012502030809986,1.3759092710538474,nan
unet_image_only_delta_rft,GRA29_C20_25deg_particle4,rollout,256-512,256,1.083984375,0,4,target_steps,1.173717975616455,0.9750488321806421,0.6654408324345099,nan,0.9384153333908337,1.0870568347487404,nan,0.9326060613095778,2.0489465618080835,nan
unet_image_only_delta_rft,GRA29_C20_45deg_particle1,rollout,0-32,32,0.52294921875,0,4,target_steps,0.8894122242927551,0.3089297839935566,0.27559907532329203,nan,0.7239740894219155,0.635363599949456,nan,0.6068095467482196,0.43122353909246525,nan
unet_image_only_delta_rft,GRA29_C20_45deg_particle1,rollout,32-128,96,0.52294921875,0,4,target_steps,1.7749677896499634,0.2831520369948339,0.053013293900940416,nan,-0.22148390127230477,-0.05028669892175451,nan,0.276046026975711,0.052190242094642694,nan
unet_image_only_delta_rft,GRA29_C20_45deg_particle1,rollout,128-256,128,0.52294921875,0,4,target_steps,3.3718819618225098,0.2177216110451067,0.02034233964520111,nan,-0.12936501308004536,-0.029736519808584955,nan,0.04949966486095668,0.021702555049083284,nan
unet_image_only_delta_rft,GRA29_C20_45deg_particle1,rollout,256-512,256,0.52294921875,0,4,target_steps,6.252662658691406,0.9285629815336282,0.15108392894556147,nan,-0.8770622579862833,-1.0275473412722307,nan,-0.9220246498350807,-3.899705084536168,nan
unet_image_only_delta_rft,GRA29_C20_45deg_particle2,rollout,0-32,32,0.417724609375,0,4,target_steps,1.0011951923370361,0.20488375512634946,0.02831435203229981,nan,-0.19703461616746407,-0.058952040093621774,nan,-0.2858140362367787,-0.07399573820422144,nan
unet_image_only_delta_rft,GRA29_C20_45deg_particle2,rollout,32-128,96,0.417724609375,0,4,target_steps,2.261509656906128,0.365721969616235,0.02071666931280102,nan,-0.2711553807779064,-0.03264552843400116,nan,-0.09859516940277337,-0.01646909614368155,nan
unet_image_only_delta_rft,GRA29_C20_45deg_particle2,rollout,128-256,128,0.417724609375,0,4,target_steps,3.991971492767334,0.06460495208104033,0.0032342027156120508,nan,0.15480408273335425,0.019153770192589546,nan,0.16127791192193147,0.11482597782917281,nan
unet_image_only_delta_rft,GRA29_C20_45deg_particle2,rollout,256-512,256,0.417724609375,0,4,target_steps,7.072768688201904,0.8204253943928206,0.06926098757074582,nan,0.9006547100209561,0.11536372985739007,nan,nan,nan,nan
unet_image_only_delta_rft,GRA29_C20_45deg_particle3,rollout,0-32,32,0.8026855468750007,0,4,target_steps,0.8131001591682434,0.4595427803499114,0.13717967150006832,nan,0.3805856519812361,0.6478695698590624,nan,0.5527818514205883,0.6709093480413114,nan
unet_image_only_delta_rft,GRA29_C20_45deg_particle3,rollout,32-128,96,0.8026855468750007,0,4,target_steps,1.2482130527496338,0.831277709680766,0.16267923097689987,nan,0.24754845021696442,0.17644282871321232,nan,0.7954196987976181,0.45559452062030686,nan
unet_image_only_delta_rft,GRA29_C20_45deg_particle3,rollout,128-256,128,0.8026855468750007,0,4,target_steps,1.8449242115020752,0.7107882880671735,0.13525793082909812,nan,0.13203983284662404,0.09083338249719265,nan,0.5545574051556516,0.3170906503692989,nan
unet_image_only_delta_rft,GRA29_C20_45deg_particle3,rollout,256-512,256,0.8026855468750007,0,4,target_steps,2.282184362411499,0.9478696409421106,0.3295968049220336,nan,0.9302932338369636,0.625836387658875,nan,0.9500104807410638,0.5353261770123598,nan
unet_image_only_delta_rft,GRA29_C20_45deg_particle4,rollout,0-32,32,1.203125,0,4,target_steps,0.7919436693191528,0.5675997396257848,0.467774304370156,nan,0.5972369346638239,2.450183744614086,nan,0.47951190031140123,1.6094890510948554,nan
unet_image_only_delta_rft,GRA29_C20_45deg_particle4,rollout,32-128,96,1.203125,0,4,target_steps,1.0078507661819458,-0.007867125350515017,-0.004322776407394225,nan,-0.002184785624704713,-0.005258769295573926,nan,0.14131627841019695,0.6277525577613837,nan
unet_image_only_delta_rft,GRA29_C20_45deg_particle4,rollout,128-256,128,1.203125,0,4,target_steps,1.3787713050842285,-0.0744487381347639,-0.08355105714676982,nan,0.0008678433694105662,0.0031213436736655417,nan,-0.10458123588968203,-0.36317518458427855,nan
unet_image_only_delta_rft,GRA29_C20_45deg_particle4,rollout,256-512,256,1.203125,0,4,target_steps,1.541471004486084,0.9374626364544473,0.45990038556409657,nan,0.9627367257794578,0.9731674990739853,nan,0.9383685172733344,1.1121566321061507,nan
unet_image_only_delta_rft_anchored,GRA29_C20_25deg_particle1,rollout_anchored,0-32,32,3.748046875,2463,2467,frame_times,0.9171277284622192,-0.0078905018047106,-0.005312919372344621,nan,-0.30190128569075186,-0.905604536345432,nan,-0.20782819584162215,-0.18183727234546487,nan
