tag,stem,mode,observable,phase,n_steps,slope_true_per_s,slope_pred_per_s,slope_naive_per_s
convlstm_multichannel_delta,GRA29_C20_45deg_particle4,rollout,bright_frac90,negative_current,487,-1.6752239710318365e-06,-4.352140036551953e-06,-1.1931471313447968e-21
predrnnpp_image_only_delta,GRA29_C20_25deg_particle1,next_frame,mean,positive_current,511,-1.996702514507647e-05,-1.9804292638521077e-05,-1.9835324867848408e-05
predrnnpp_image_only_delta,GRA29_C20_25deg_particle1,next_frame,mean,negative_current,2438,4.375683031457783e-05,4.3743352256428926e-05,4.373526945865347e-05
predrnnpp_image_only_delta,GRA29_C20_25deg_particle1,next_frame,p95,positive_current,511,-1.2962546148429928e-05,-1.293132494786242e-05,-1.2920130688994267e-05
predrnnpp_image_only_delta,GRA29_C20_25deg_particle1,next_frame,p95,negative_current,2438,6.419664538425853e-05,6.416016686297375e-05,6.417358680156727e-05
predrnnpp_image_only_delta,GRA29_C20_25deg_particle1,next_frame,bright_frac90,positive_current,511,-2.044444984678814e-06,-2.037348992289382e-06,-2.0313614031843724e-06
predrnnpp_image_only_delta,GRA29_C20_25deg_particle1,next_frame,bright_frac90,negative_current,2438,1.4851539020030262e-05,1.4886257902220309e-05,1.485057496723625e-05
predrnnpp_image_only_delta,GRA29_C20_25deg_particle2,next_frame,mean,positive_current,511,-2.0026451056343203e-05,-1.98304855011974e-05,-1.9867175950884726e-05
predrnnpp_image_only_delta,GRA29_C20_25deg_particle2,next_frame,mean,negative_current,2438,4.067485856519537e-05,4.064726259781621e-05,4.065865344097267e-05
predrnnpp_image_only_delta,GRA29_C20_25deg_particle2,next_frame,p95,positive_current,511,-1.1738809591846516e-05,-1.2118574040519664e-05,-1.179225893848736e-05
predrnnpp_image_only_delta,GRA29_C20_25deg_particle2,next_frame,p95,negative_current,2438,6.605292083484213e-05,6.603960228530894e-05,6.604180059351031e-05
predrnnpp_image_only_delta,GRA29_C20_25deg_particle2,next_frame,bright_frac90,positive_current,511,-3.3348023656179184e-06,-3.3177674452755747e-06,-3.3186779368776486e-06
